date,state,state_ibge_code,deaths,created_at
2020-07-04,AC,12,17,2021-03-17 19:42
2020-07-05,AC,12,14,2021-03-17 19:42
2020-07-06,AC,12,14,2021-03-17 19:42
2020-07-07,AC,12,16,2021-03-17 19:42
2020-07-08,AC,12,19,2021-03-17 19:42
2020-07-09,AC,12,23,2021-03-17 19:42
2020-07-10,AC,12,10,2021-03-17 19:42
2020-07-11,AC,12,14,2021-03-17 19:42
2020-07-12,AC,12,10,2021-03-17 19:42
2020-07-13,AC,12,15,2021-03-17 19:42
2020-07-14,AC,12,10,2021-03-17 19:42
2020-07-15,AC,12,17,2021-03-17 19:42
2020-07-16,AC,12,11,2021-03-17 19:42
2020-07-17,AC,12,15,2021-03-17 19:42
2020-07-18,AC,12,15,2021-03-17 19:42
2020-07-19,AC,12,15,2021-03-17 19:42
2020-07-20,AC,12,15,2021-03-17 19:42
2020-07-21,AC,12,9,2021-03-17 19:42
2020-07-22,AC,12,11,2021-03-17 19:42
2020-07-23,AC,12,9,2021-03-17 19:42
2020-07-24,AC,12,11,2021-03-17 19:42
2020-07-25,AC,12,18,2021-03-17 19:42
2020-07-26,AC,12,11,2021-03-17 19:42
2020-07-27,AC,12,18,2021-03-17 19:42
2020-07-28,AC,12,15,2021-03-17 19:42
2020-07-29,AC,12,9,2021-03-17 19:42
2020-07-30,AC,12,7,2021-03-17 19:42
2020-07-31,AC,12,13,2021-03-17 19:42
2020-08-01,AC,12,9,2021-03-17 19:42
2020-08-02,AC,12,12,2021-03-17 19:42
2020-08-03,AC,12,17,2021-03-17 19:42
2020-08-04,AC,12,9,2021-03-17 19:42
2020-08-05,AC,12,5,2021-03-17 19:42
2020-08-06,AC,12,16,2021-03-17 19:42
2020-08-07,AC,12,9,2021-03-17 19:42
2020-08-08,AC,12,15,2021-03-17 19:42
2020-08-09,AC,12,18,2021-03-17 19:42
2020-08-10,AC,12,12,2021-03-17 19:42
2020-08-11,AC,12,16,2021-03-17 19:42
2020-08-12,AC,12,7,2021-03-17 19:42
2020-08-13,AC,12,11,2021-03-17 19:42
2020-08-14,AC,12,14,2021-03-17 19:42
2020-08-15,AC,12,8,2021-03-17 19:42
2020-08-16,AC,12,13,2021-03-17 19:42
2020-08-17,AC,12,10,2021-03-17 19:42
2020-08-18,AC,12,14,2021-03-17 19:42
2020-08-19,AC,12,15,2021-03-17 19:42
2020-08-20,AC,12,6,2021-03-17 19:42
2020-08-21,AC,12,9,2021-03-17 19:42
2020-08-22,AC,12,15,2021-03-17 19:42
2020-08-23,AC,12,13,2021-03-17 19:42
2020-08-24,AC,12,11,2021-03-17 19:42
2020-08-25,AC,12,6,2021-03-17 19:42
2020-08-26,AC,12,4,2021-03-17 19:42
2020-08-27,AC,12,13,2021-03-17 19:42
2020-08-28,AC,12,11,2021-03-17 19:42
2020-08-29,AC,12,11,2021-03-17 19:42
2020-08-30,AC,12,10,2021-03-17 19:42
2020-08-31,AC,12,11,2021-03-17 19:42
2020-09-01,AC,12,16,2021-03-17 19:42
2020-09-02,AC,12,6,2021-03-17 19:42
2020-09-03,AC,12,8,2021-03-17 19:42
2020-09-04,AC,12,10,2021-03-17 19:42
